trip,category,model,horizon_sec,n_episodes,mean_dist_m,drift_m,drift_pct,episode_pass_rate_pct,is_trip_pass
Vw16a,Mountain,Fixed_Damped_Momentum,10,35,140.3,28.11,22.68,22.9,0
Vw16a,Mountain,Fixed_Damped_Momentum,20,35,285.37,70.24,144.1,20.0,0
Vw16a,Mountain,Fixed_Damped_Momentum,30,35,434.03,112.96,145.2,20.0,0
Vw16a,Mountain,Fixed_Damped_Momentum,60,35,899.86,211.54,25.81,22.9,0
Vw16a,Mountain,Pure_Kinematics,10,35,140.3,25.96,21.9,42.9,0
Vw16a,Mountain,Pure_Kinematics,20,35,285.37,81.56,158.41,22.9,0
Vw16a,Mountain,Pure_Kinematics,30,35,434.03,148.55,212.56,20.0,0
Vw16a,Mountain,Pure_Kinematics,60,35,899.86,388.45,51.76,5.7,0
Vw16a,Mountain,Static_TCN,10,35,140.3,40.15,36.38,17.1,0
Vw16a,Mountain,Static_TCN,20,35,285.37,65.82,95.0,22.9,0
Vw16a,Mountain,Static_TCN,30,35,434.03,88.15,84.41,25.7,0
Vw16a,Mountain,Static_TCN,60,35,899.86,136.71,16.44,34.3,0
